Business Name,City,State,Checkins Before Spike,Checkins After Spike,% Change in Checkins,Impact Category
Amici,New Orleans,LA,15,14,6.67,Drop in Checkins
Pat O'Brien’s,New Orleans,LA,94,88,6.38,Drop in Checkins
Blume,Philadelphia,PA,16,15,6.25,Drop in Checkins
The Blind Pelican,New Orleans,LA,22,21,4.55,Drop in Checkins
American Social,Tampa,FL,26,25,3.85,Drop in Checkins
Santa Barbara Shellfish Company,Santa Barbara,CA,38,37,2.63,Drop in Checkins
Grand Café,Reno,NV,13,13,0.0,No Change
Deanie’s Seafood,Metairie,LA,13,13,0.0,No Change
Movie Tavern Flourtown,Flourtown,PA,16,16,0.0,No Change
AMC Elmwood Palace 20,Harahan,LA,23,23,0.0,No Change
Golden Flower Vietnamese,Reno,NV,35,35,0.0,No Change
The Dali Museum,Saint Petersburg,FL,18,18,0.0,No Change
Andersen's Danish Bakery & Restaurant,Santa Barbara,CA,10,10,0.0,No Change
Dunkin',Sparks,NV,39,39,0.0,No Change
US Airways,Philadelphia,PA,44,44,0.0,No Change
Philadelphia International Airport - PHL,Philadelphia,PA,518,525,-1.35,Increase in Checkins
Deanie's Seafood,New Orleans,LA,56,57,-1.79,Increase in Checkins
Shake Shack,St. Louis,MO,44,45,-2.27,Increase in Checkins
Dave & Buster's,New Orleans,LA,43,44,-2.33,Increase in Checkins
Louis Armstrong New Orleans International Airport  MSY,Kenner,LA,252,260,-3.17,Increase in Checkins
Union Public House,Tucson,AZ,30,31,-3.33,Increase in Checkins
"Galaxy Theatres Legends IMAX, Sparks",Sparks,NV,30,31,-3.33,Increase in Checkins
Blake's Lotaburger,Tucson,AZ,23,24,-4.35,Increase in Checkins
Cajun Seafood,New Orleans,LA,22,23,-4.55,Increase in Checkins
The Southern Steak & Oyster,Nashville,TN,21,22,-4.76,Increase in Checkins
The Cheesecake Factory - Metairie,Metairie,LA,20,21,-5.0,Increase in Checkins
The Row,Nashville,TN,127,134,-5.51,Increase in Checkins
Sushi Alive Asian Bistro & Raw,Tampa,FL,15,16,-6.67,Increase in Checkins
Drunken Fish - Westport Plaza,Saint Louis,MO,29,31,-6.9,Increase in Checkins
Drago's Seafood Restaurant,New Orleans,LA,58,62,-6.9,Increase in Checkins
Siena Hotel,Reno,NV,14,15,-7.14,Increase in Checkins
Dalessandro’s Steaks & Hoagies,Philadelphia,PA,13,14,-7.69,Increase in Checkins
Baileys' Range,Saint Louis,MO,13,14,-7.69,Increase in Checkins
Bamboula's,New Orleans,LA,13,14,-7.69,Increase in Checkins
Acme Oyster House,New Orleans,LA,149,161,-8.05,Increase in Checkins
BB King's Blues Club,New Orleans,LA,11,12,-9.09,Increase in Checkins
Silver Legacy Resort Casino,Reno,NV,44,48,-9.09,Increase in Checkins
Cafe Pontalba,New Orleans,LA,10,11,-10.0,Increase in Checkins
Wahlburgers,Philadelphia,PA,10,11,-10.0,Increase in Checkins
Daisy Dukes - French Quarter,New Orleans,LA,30,33,-10.0,Increase in Checkins
Hyatt Regency New Orleans,New Orleans,LA,18,20,-11.11,Increase in Checkins
Chickie's and Pete's,Philadelphia,PA,35,39,-11.43,Increase in Checkins
Café Du Monde,New Orleans,LA,235,263,-11.91,Increase in Checkins
Ruby Sunshine,Franklin,TN,16,18,-12.5,Increase in Checkins
Parx Casino,Bensalem,PA,15,17,-13.33,Increase in Checkins
Busch Gardens Tampa Bay,Tampa,FL,15,17,-13.33,Increase in Checkins
Buffalo Wild Wings,Warrington,PA,15,17,-13.33,Increase in Checkins
Huck Finn's Cafe,New Orleans,LA,13,15,-15.38,Increase in Checkins
Geno's Steaks,Philadelphia,PA,58,67,-15.52,Increase in Checkins
Pat's King of Steaks,Philadelphia,PA,90,104,-15.56,Increase in Checkins
The Velvet Cactus,New Orleans,LA,12,14,-16.67,Increase in Checkins
Snug Harbor Jazz Bistro,New Orleans,LA,12,14,-16.67,Increase in Checkins
Carmo,New Orleans,LA,41,48,-17.07,Increase in Checkins
The Court of Two Sisters,New Orleans,LA,23,27,-17.39,Increase in Checkins
Devil's Alley Bar & Grille,Philadelphia,PA,17,20,-17.65,Increase in Checkins
The Cheesecake Factory - Reno,Reno,NV,11,13,-18.18,Increase in Checkins
Salt Shack on the Bay,Tampa,FL,16,19,-18.75,Increase in Checkins
Morrow's,New Orleans,LA,21,25,-19.05,Increase in Checkins
Antoine's Restaurant,New Orleans,LA,20,24,-20.0,Increase in Checkins
Fogo de Chao Brazilian Steakhouse,Indianapolis,IN,10,12,-20.0,Increase in Checkins
Black Bear Diner,Tucson,AZ,14,17,-21.43,Increase in Checkins
Bern's Steak House,Tampa,FL,28,34,-21.43,Increase in Checkins
Grand Sierra Resort and Casino,Reno,NV,100,123,-23.0,Increase in Checkins
Los Agaves,Santa Barbara,CA,21,26,-23.81,Increase in Checkins
Stanley,New Orleans,LA,49,61,-24.49,Increase in Checkins
Otaku Ramen,Nashville,TN,12,15,-25.0,Increase in Checkins
Boomtown - Reno,Reno,NV,11,14,-27.27,Increase in Checkins
Eldorado Resort Casino,Reno,NV,59,76,-28.81,Increase in Checkins
Boca - Tampa,Tampa,FL,10,13,-30.0,Increase in Checkins
Arnaud's Restaurant,New Orleans,LA,10,13,-30.0,Increase in Checkins
Buffalo Wild Wings,Pinellas Park,FL,10,13,-30.0,Increase in Checkins
Gumbo Shop,New Orleans,LA,130,174,-33.85,Increase in Checkins
Ruby Slipper - New Orleans,New Orleans,LA,91,123,-35.16,Increase in Checkins
Whiskey Joe's Bar & Grill - Tampa,Tampa,FL,14,19,-35.71,Increase in Checkins
KitzMo Sushi,Reno,NV,14,19,-35.71,Increase in Checkins
Brick & Spoon,New Orleans,LA,19,26,-36.84,Increase in Checkins
Cafe Fleur De Lis,New Orleans,LA,34,47,-38.24,Increase in Checkins
Tampa General Hospital,Tampa,FL,13,18,-38.46,Increase in Checkins
Coop's Place,New Orleans,LA,44,61,-38.64,Increase in Checkins
Pho Country 2,Reno,NV,10,14,-40.0,Increase in Checkins
Bongos Beach Bar and Grille,St. Pete Beach,FL,10,14,-40.0,Increase in Checkins
Willie's Chicken Shack,New Orleans,LA,12,17,-41.67,Increase in Checkins
Regal Cinebarre Canal Place,New Orleans,LA,21,30,-42.86,Increase in Checkins
Nugget Casino Resort,Sparks,NV,23,33,-43.48,Increase in Checkins
Dave & Buster's,Philadelphia,PA,14,21,-50.0,Increase in Checkins
Tootsie's Orchid Lounge,Nashville,TN,31,47,-51.61,Increase in Checkins
Clover Grill,New Orleans,LA,10,16,-60.0,Increase in Checkins
Superior Seafood & Oyster Bar,New Orleans,LA,18,29,-61.11,Increase in Checkins
Cafe Maspero,New Orleans,LA,13,21,-61.54,Increase in Checkins
Gaylord Opryland Resort & Convention Center,Nashville,TN,25,42,-68.0,Increase in Checkins
Neyow's Creole Cafe,New Orleans,LA,38,64,-68.42,Increase in Checkins
Jacksons Bistro Bar & Sushi,Tampa,FL,20,34,-70.0,Increase in Checkins
Butcher Bar,Philadelphia,PA,15,26,-73.33,Increase in Checkins
999 Pho,Reno,NV,16,28,-75.0,Increase in Checkins
Fess Parker's DoubleTree Resort,Santa Barbara,CA,22,39,-77.27,Increase in Checkins
Moshulu,Philadelphia,PA,18,32,-77.78,Increase in Checkins
